iter	Passed	Remaining
559	23179	16184
560	23229	16148
561	23288	16119
562	23320	16071
563	23351	16022
564	23382	15974
565	23463	15959
566	23506	15919
567	23549	15879
568	23588	15836
569	23658	15814
570	23704	15775
571	23751	15737
572	23797	15698
573	23835	15655
574	23890	15622
575	23935	15583
576	23970	15537
577	24009	15493
578	24043	15447
579	24086	15407
580	24131	15367
581	24178	15329
582	24221	15289
583	24265	15249
584	24311	15210
585	24353	15169
586	24388	15123
587	24425	15079
588	24467	15037
589	24500	14990
590	24534	14944
591	24568	14898
592	24602	14852
593	24638	14808
594	24676	14764
595	24716	14722
596	24752	14677
597	24793	14635
598	24839	14596
599	24882	14556
600	24927	14516
601	24961	14471
602	24995	14425
603	25031	14380
604	25073	14339
605	25119	14300
606	25153	14255
607	25195	14214
608	25230	14168
609	25275	14129
610	25316	14087
611	25357	14045
612	25402	14006
613	25477	13983
614	25518	13942
615	25558	13899
616	25593	13854
617	25625	13808
618	25657	13761
619	25692	13716
620	25725	13670
621	25762	13626
622	25798	13582
623	25846	13544
624	25880	13499
625	25928	13461
626	25980	13425
627	26021	13383
628	26059	13340
629	26110	13303
630	26151	13262
631	26185	13217
632	26226	13175
633	26288	13144
634	26328	13101
635	26365	13058
636	26414	13020
637	26448	12975
638	26480	12929
639	26514	12884
640	26558	12844
641	26598	12801
642	26635	12758
643	26668	12713
644	26702	12667
645	26732	12621
646	26761	12574
647	26792	12527
648	26823	12481
649	26856	12436
650	26886	12390
651	26917	12343
652	26947	12297
653	26988	12256
654	27021	12211
655	27051	12164
656	27084	12119
657	27118	12075
658	27161	12035
659	27204	11994
660	27241	11951
661	27273	11906
662	27305	11861
663	27336	11815
664	27379	11775
665	27421	11734
666	27473	11697
667	27518	11658
668	27578	11625
669	27682	11610
670	27724	11568
671	27784	11535
672	27849	11503
673	27902	11467
674	27941	11425
675	27980	11382
676	28019	11340
677	28067	11301
678	28111	11261
679	28150	11218
680	28183	11174
681	28216	11129
682	28249	11084
683	28293	11044
684	28353	11010
685	28458	10993
686	28497	10950
687	28532	10907
688	28566	10862
689	28604	10819
690	28642	10777
691	28676	10733
692	28710	10688
693	28748	10646
694	28803	10609
695	28850	10570
696	28888	10527
697	28951	10494
698	29008	10458
699	29066	10422
700	29102	10378
701	29134	10333
702	29166	10289
703	29195	10243
704	29227	10198
705	29258	10153
706	29291	10108
707	29322	10063
708	29353	10018
709	29388	9975
710	29429	9934
711	29474	9893
712	29510	9850
713	29550	9808
714	29584	9765
715	29635	9726
716	29674	9684
717	29709	9640
718	29742	9597
719	29781	9555
720	29851	9522
721	29905	9485
722	29941	9442
723	29997	9405
724	30056	9369
725	30102	9329
726	30141	9286
727	30182	9245
728	30217	9202
729	30255	9159
730	30296	9117
731	30348	9079
732	30396	9040
733	30437	8998
734	30481	8957
735	30513	8913
736	30577	8878
737	30649	8846
